Date,Venue,Performers,URL,IsFree
"Friday, 29 September 2023 08:10 PM",MATCHBOX,THOMAS ORR LIVE + ,https://www.factorytheatre.com.au/event/thomas-orr/,
"Wednesday, 27 September 2023 09:30 PM",MATCHBOX,ANDREW PORTELLI – REAL TALK + ,https://www.factorytheatre.com.au/event/andrew-portelli-real-talk/,
"Thursday, 28 September 2023 09:30 PM",MATCHBOX,ANDREW PORTELLI – REAL TALK + ,https://www.factorytheatre.com.au/event/andrew-portelli-real-talk/,
"Friday, 29 September 2023 09:30 PM",MATCHBOX,ANDREW PORTELLI – REAL TALK + ,https://www.factorytheatre.com.au/event/andrew-portelli-real-talk/,
"Saturday, 30 September 2023 09:30 PM",MATCHBOX,ANDREW PORTELLI – REAL TALK + ,https://www.factorytheatre.com.au/event/andrew-portelli-real-talk/,
"Sunday, 01 October 2023 08:30 PM",MATCHBOX,ANDREW PORTELLI – REAL TALK + ,https://www.factorytheatre.com.au/event/andrew-portelli-real-talk/,
"Wednesday, 27 September 2023 09:30 PM",WORKSHOP,MICHAEL HING - WIP + ,https://www.factorytheatre.com.au/event/michael-hing/,
"Thursday, 28 September 2023 09:30 PM",WORKSHOP,MICHAEL HING - WIP + ,https://www.factorytheatre.com.au/event/michael-hing/,
"Saturday, 30 September 2023 09:30 PM",WORKSHOP,MICHAEL HING - WIP + ,https://www.factorytheatre.com.au/event/michael-hing/,
"Wednesday, 27 September 2023 09:30 PM",TERMINAL,PARTNERS IN GOOF + ,https://www.factorytheatre.com.au/event/partners-in-goof-hayden-wright/,
"Friday, 29 September 2023 09:30 PM",TERMINAL,PARTNERS IN GOOF + ,https://www.factorytheatre.com.au/event/partners-in-goof-hayden-wright/,
"Wednesday, 27 September 2023 09:30 PM",FACTORY FLOOR,CLAIRE WALL – NUN SLUT + ,https://www.factorytheatre.com.au/event/claire-wall-nun-slut/,
"Friday, 29 September 2023 09:30 PM",FACTORY FLOOR,CLAIRE WALL – NUN SLUT + ,https://www.factorytheatre.com.au/event/claire-wall-nun-slut/,
"Thursday, 28 September 2023 06:50 PM",FACTORY FLOOR,BOATS AND BOGANS + ,https://www.factorytheatre.com.au/event/boats-and-bogans/,
"Saturday, 30 September 2023 05:30 PM",FACTORY FLOOR,BOATS AND BOGANS + ,https://www.factorytheatre.com.au/event/boats-and-bogans/,
"Sunday, 01 October 2023 05:50 PM",FACTORY FLOOR,BOATS AND BOGANS + ,https://www.factorytheatre.com.au/event/boats-and-bogans/,
"Thursday, 28 September 2023 06:50 PM",TERMINAL,DAN RATH - SALT OF THE EARTH SPACE CADET + ,https://www.factorytheatre.com.au/event/dan-rath/,
"Saturday, 30 September 2023 06:50 PM",TERMINAL,DAN RATH - SALT OF THE EARTH SPACE CADET + ,https://www.factorytheatre.com.au/event/dan-rath/,
"Sunday, 01 October 2023 05:50 PM",TERMINAL,DAN RATH - SALT OF THE EARTH SPACE CADET + ,https://www.factorytheatre.com.au/event/dan-rath/,
"Thursday, 28 September 2023 06:50 PM",MATCHBOX,RUBY BLINKHORN - DOGGY DOO DOO AND DON'T DON'TS + ,https://www.factorytheatre.com.au/event/ruby-blinkhorn-doggy-do-do-and-doggy-donts/,
"Saturday, 30 September 2023 06:50 PM",MATCHBOX,RUBY BLINKHORN - DOGGY DOO DOO AND DON'T DON'TS + ,https://www.factorytheatre.com.au/event/ruby-blinkhorn-doggy-do-do-and-doggy-donts/,
"Sunday, 01 October 2023 05:50 PM",MATCHBOX,RUBY BLINKHORN - DOGGY DOO DOO AND DON'T DON'TS + ,https://www.factorytheatre.com.au/event/ruby-blinkhorn-doggy-do-do-and-doggy-donts/,
"Thursday, 28 September 2023 06:50 PM",FACTORY FLOOR,NICK BARTLETT – THE LATE NIGHT COMEDY NOSTALGIA SHOW + ,https://www.factorytheatre.com.au/event/nick-bartlett-the-late-night-comedy-nostalgia-show/,
"Saturday, 30 September 2023 06:50 PM",FACTORY FLOOR,NICK BARTLETT – THE LATE NIGHT COMEDY NOSTALGIA SHOW + ,https://www.factorytheatre.com.au/event/nick-bartlett-the-late-night-comedy-nostalgia-show/,
"Sunday, 01 October 2023 05:50 PM",FACTORY FLOOR,NICK BARTLETT – THE LATE NIGHT COMEDY NOSTALGIA SHOW + ,https://www.factorytheatre.com.au/event/nick-bartlett-the-late-night-comedy-nostalgia-show/,
"Thursday, 28 September 2023 07:30 PM",FACTORY THEATRE,INNER WEST FOR YES + ,https://www.factorytheatre.com.au/event/inner-west-for-yes/,
"Thursday, 28 September 2023 08:10 PM",MATCHBOX,DELHI BUOY – A SLUMDOG IN BOGANLAND + ,https://www.factorytheatre.com.au/event/delhi-buoy-a-slumdog-in-boganland/,
"Thursday, 28 September 2023 08:10 PM",TERMINAL,CHRISTIAN ELDERFIELD – SWINGERS + ,https://www.factorytheatre.com.au/event/christian-elderfield-swingers/,
"Saturday, 30 September 2023 08:10 PM",TERMINAL,CHRISTIAN ELDERFIELD – SWINGERS + ,https://www.factorytheatre.com.au/event/christian-elderfield-swingers/,
"Sunday, 01 October 2023 07:10 PM",TERMINAL,CHRISTIAN ELDERFIELD – SWINGERS + ,https://www.factorytheatre.com.au/event/christian-elderfield-swingers/,
"Thursday, 28 September 2023 09:30 PM",FUSEBOX,"FRAN MIDDLETON, CHARLIE MCCANN & CAMERON DUGGAN - EXCUSE YOU! + ",https://www.factorytheatre.com.au/event/fran-middleton-charlie-mccann-cameron-duggan/,
"Saturday, 30 September 2023 09:30 PM",FUSEBOX,"FRAN MIDDLETON, CHARLIE MCCANN & CAMERON DUGGAN - EXCUSE YOU! + ",https://www.factorytheatre.com.au/event/fran-middleton-charlie-mccann-cameron-duggan/,
"Sunday, 01 October 2023 08:30 PM",FUSEBOX,"FRAN MIDDLETON, CHARLIE MCCANN & CAMERON DUGGAN - EXCUSE YOU! + ",https://www.factorytheatre.com.au/event/fran-middleton-charlie-mccann-cameron-duggan/,
"Friday, 29 September 2023 07:30 PM",FACTORY THEATRE,AGAINST THE CURRENT + Peni Parker + Days Like These,https://www.factorytheatre.com.au/event/against-the-current/,
"Friday, 29 September 2023 09:30 PM",WORKSHOP,PAGE BARTELT & NEIL WALDRON - SUPERFICIAL INTELLIGENCE + ,https://www.factorytheatre.com.au/event/page-bartelt-neil-waldron/,
"Sunday, 01 October 2023 08:30 PM",WORKSHOP,PAGE BARTELT & NEIL WALDRON - SUPERFICIAL INTELLIGENCE + ,https://www.factorytheatre.com.au/event/page-bartelt-neil-waldron/,
"Saturday, 30 September 2023 05:30 PM",FACTORY FLOOR,KATE WILKINS – GIRL. JUST ONE (HBO) + ,https://www.factorytheatre.com.au/event/kate-wilkins-girl-hbo-just-one/,
"Sunday, 01 October 2023 04:30 PM",FACTORY FLOOR,KATE WILKINS – GIRL. JUST ONE (HBO) + ,https://www.factorytheatre.com.au/event/kate-wilkins-girl-hbo-just-one/,
"Saturday, 30 September 2023 05:30 PM",WORKSHOP,NICK ROBERTSON – LEAVE TO ENTER + ,https://www.factorytheatre.com.au/event/nick-robertson-leave-to-enter/,
"Sunday, 01 October 2023 04:30 PM",WORKSHOP,NICK ROBERTSON – LEAVE TO ENTER + ,https://www.factorytheatre.com.au/event/nick-robertson-leave-to-enter/,
"Saturday, 30 September 2023 06:50 PM",FACTORY FLOOR,CONNOR VAN VUUREN – ALL MY SUCCULENTS ARE DEAD + ,https://www.factorytheatre.com.au/event/connor-van-vuuren-all-my-succulents-are-dead/,
"Saturday, 30 September 2023 08:00 PM",FACTORY THEATRE,KEVIN MORBY + Lo Carmen,https://www.factorytheatre.com.au/event/kevin-morby/,
"Saturday, 30 September 2023 08:10 PM",MATCHBOX,Racist Immigrants + ,https://www.factorytheatre.com.au/event/racist-immigrants/,
"Sunday, 01 October 2023 07:10 PM",MATCHBOX,Racist Immigrants + ,https://www.factorytheatre.com.au/event/racist-immigrants/,
"Sunday, 01 October 2023 08:00 PM",FACTORY THEATRE,DJANGO DJANGO + Radio Free Alice,https://www.factorytheatre.com.au/event/django-django/,
"Friday, 06 October 2023 07:30 PM",FACTORY FLOOR,BATTLERAP AU + Greeley + Lee Monro,https://www.factorytheatre.com.au/event/battlerap-au/,
"Saturday, 07 October 2023 01:00 PM",COURTYARD,FREEKIN WEEKENDS – LIQUID SYDNEY + ,https://www.factorytheatre.com.au/event/freekin-weekends-liquid-sydney/,
